dt,temp,temp_min,temp_max,speed,dt-1hr
2022-08-09 21:00:00,77.918,24.77,25.51,1.87,2022-08-09 20:00:00
2022-08-10 00:00:00,77.756,25.25,25.42,3.89,2022-08-09 23:00:00
2022-08-10 03:00:00,74.912,23.0,23.84,1.98,2022-08-10 02:00:00
2022-08-10 06:00:00,65.624,18.68,18.68,1.83,2022-08-10 05:00:00
2022-08-10 09:00:00,63.373999999999995,17.43,17.43,2.63,2022-08-10 08:00:00
2022-08-10 12:00:00,63.122,17.29,17.29,4.07,2022-08-10 11:00:00
2022-08-10 15:00:00,64.79599999999999,18.22,18.22,3.53,2022-08-10 14:00:00
2022-08-10 18:00:00,66.794,19.33,19.33,4.05,2022-08-10 17:00:00
2022-08-10 21:00:00,70.142,21.19,21.19,3.83,2022-08-10 20:00:00
2022-08-11 00:00:00,70.628,21.46,21.46,3.46,2022-08-10 23:00:00
2022-08-11 03:00:00,67.60400000000001,19.78,19.78,2.45,2022-08-11 02:00:00
2022-08-11 06:00:00,65.642,18.69,18.69,4.52,2022-08-11 05:00:00
2022-08-11 09:00:00,64.562,18.09,18.09,3.9,2022-08-11 08:00:00
2022-08-11 12:00:00,62.78,17.1,17.1,2.17,2022-08-11 11:00:00
2022-08-11 15:00:00,64.274,17.93,17.93,1.81,2022-08-11 14:00:00
2022-08-11 18:00:00,68.81,20.45,20.45,2.61,2022-08-11 17:00:00
2022-08-11 21:00:00,70.78999999999999,21.55,21.55,2.38,2022-08-11 20:00:00
2022-08-12 00:00:00,71.78,22.1,22.1,1.78,2022-08-11 23:00:00
2022-08-12 03:00:00,66.30799999999999,19.06,19.06,0.48,2022-08-12 02:00:00
2022-08-12 06:00:00,63.176,17.32,17.32,1.15,2022-08-12 05:00:00
2022-08-12 09:00:00,61.628,16.46,16.46,0.83,2022-08-12 08:00:00
2022-08-12 12:00:00,60.025999999999996,15.57,15.57,0.39,2022-08-12 11:00:00
2022-08-12 15:00:00,63.806000000000004,17.67,17.67,0.95,2022-08-12 14:00:00
2022-08-12 18:00:00,68.792,20.44,20.44,2.48,2022-08-12 17:00:00
2022-08-12 21:00:00,70.52,21.4,21.4,2.11,2022-08-12 20:00:00
2022-08-13 00:00:00,72.41,22.45,22.45,2.48,2022-08-12 23:00:00
2022-08-13 03:00:00,69.134,20.63,20.63,3.02,2022-08-13 02:00:00
2022-08-13 06:00:00,64.67,18.15,18.15,3.23,2022-08-13 05:00:00
2022-08-13 09:00:00,60.638000000000005,15.91,15.91,5.33,2022-08-13 08:00:00
2022-08-13 12:00:00,59.900000000000006,15.5,15.5,5.3,2022-08-13 11:00:00
2022-08-13 15:00:00,60.367999999999995,15.76,15.76,4.75,2022-08-13 14:00:00
2022-08-13 18:00:00,62.635999999999996,17.02,17.02,3.17,2022-08-13 17:00:00
2022-08-13 21:00:00,67.874,19.93,19.93,3.06,2022-08-13 20:00:00
2022-08-14 00:00:00,68.36,20.2,20.2,2.25,2022-08-13 23:00:00
2022-08-14 03:00:00,65.21000000000001,18.45,18.45,0.69,2022-08-14 02:00:00
2022-08-14 06:00:00,61.843999999999994,16.58,16.58,1.81,2022-08-14 05:00:00
2022-08-14 09:00:00,60.025999999999996,15.57,15.57,1.17,2022-08-14 08:00:00
2022-08-14 12:00:00,59.018,15.01,15.01,0.2,2022-08-14 11:00:00
2022-08-14 15:00:00,61.502,16.39,16.39,0.98,2022-08-14 14:00:00
2022-08-14 18:00:00,66.70400000000001,19.28,19.28,2.51,2022-08-14 17:00:00
